time,CO2_tot,H_AMVA,H_med,CO2_Med,
1985,,2.216.254,1.535.955,1505236,
1986,,2.268.716,1.565.394,1534086,
1987,,2.321.265,1.595.095,1563193,
1988,,2.374.054,1.625.321,1592814,
1989,,2.427.305,1.656.333,1623206,
1990,,2.481.113,1.688.394,1654626,
1991,,2.535.626,1.721.767,1687327,
1992,,2.591.017,1.756.711,1721577,
1993,,2.647.432,1.793.491,1757621,
1994,,2.705.056,1.832.197,1795553,
1995,,2.763.492,1.872.241,1834796,
1996,,2.822.200,1.912.860,1874603,
1997,,2.880.712,1.953.293,1914227,
1998,,2.938.591,1.992.781,1952925,
1999,,2.995.293,2.030.560,1989949,
2000,3046811,3.050.243,2.065.871,2063547,
2001,3051550,3.103.395,2.098.618,2074502,
2002,3067733,3.155.715,2.129.874,2070493,
2003,3129609,3.207.091,2.159.609,2107434,
2004,3140771,3.257.466,2.187.831,2110598,
2005,3211207,3.306.514,2.214.494,2150663,
2006,3327044,3.353.471,2.239.003,2221135,
2007,3400822,3.401.662,2.265.244,2264685,
2008,3474601,3.449.665,2.291.378,2307941,
2009,3394698,3.497.334,2.317.336,2249329,
,,,,,
2010,3498016,3.544.860,2.343.049,2312086,
2011,3488655,3.592.063,2.368.282,2300104,
,,,,,
,,,,,
,,,,,
2012,3573671,3.638.869,2.393.011,2350135,
2013,3726488,3.685.382,2.417.325,2444287,
,,,,,
1014,3930880,3.731.447,2.441.123,2571593,
2015,4275445,3.777.009,2.464.322,2789528,
,,,,,
,,,,,
2016,4425685,3.821.890,2.486.723,2879584,
,,,,,
2017,4488866,3.866.165,2.508.452,2912474,
,,,,,
2018,4552043,3933652,2529403,2927039,
,,,,,
2019,4615222,3967000,2549537,3006744,
2020,4678400,4034263,2569007,2979192,
,,,,,
