Codigo,CAP,Fecha,Latitud,Longitud
FU1,132.5,13/12/2018,6.2691,-75.5741
FU2,135.8,13/12/2018,6.2847,-75.5683
FU3,198.3,17/12/2018,6.2707,-75.5729
FU4,146.7,17/12/2018,6.2687,-75.5724
FU5,131.8,18/12/2018,6.2629,-75.5741
FU6,129.3,18/12/2018,6.2544,-75.5775
FU7,210.4,20/12/2018,6.2551,-75.5812
FU8,118,20/12/2018,6.2573,-75.5844
FU9,264.3,21/12/2018,6.2618,-75.5934
FU10,208.2,21/12/2018,6.2601,-75.5890
FU11,248.2,21/12/2018,6.2499,-75.5819
FU12,267.5,24/12/2018,6.2463,-75.5810
FU13,210.2,24/12/2018,6.2526,-75.6013
FU14,154.2,26/12/2018,6.2476,-75.5786
FU15,209,26/12/2018,6.2382,-75.5775
FU16,194.2,27/12/2018,6.2327,-75.5768
FU17,161.5,27/12/2018,6.2381,-75.5952
FU18,210.5,28/12/2018,6.2188,-75.5782
FU19,122.3,28/12/2018,6.2110,-75.5845
FU20,200.5,28/12/2018,6.2091,-75.5764
FU21,188.7,2/01/2019,6.2588,-75.5758
FU22,138.5,2/01/2019,6.2327,-75.5858
FU23,189.2,2/01/2019,6.2431,-75.5834
FU24,170.3,4/01/2019,6.1989,-75.5763
FU25,222,4/01/2019,6.1978,-75.5855
FU26,156.1,4/01/2019,6.2053,-75.5883
FU27,288.5,28/01/2019,6.2578,-75.5726
FU28,256.8,28/01/2019,6.2530,-75.5627
FU29,148.2,4/02/2019,6.1956,-75.5829
FU30,164.5,4/02/2019,6.1934,-75.5768
FU31,185.8,18/02/2019,6.2433,-75.5598
FU32,273.2,18/02/2019,6.2596,-75.5799
FU33,138.5,21/02/2019,6.1519,-75.3805
FU34,145.2,21/02/2019,6.1518,-75.3798
FU35,199.8,21/02/2019,6.1518,-75.3807
FU36,117.2,21/02/2019,6.1516,-75.3823
FU37,100.7,21/02/2019,6.1519,-75.3824
FU38,159.4,25/02/2019,6.2636,-75.5896
FU39,112.4,25/02/2019,6.2682,-75.5927
FU40,239.2,25/02/2019,6.2428,-75.5683
